,data,hindcast,years
0,86.3153333333,41.998493866,1971
1,76.9356666667,35.2251028844,1974
2,14.0296666667,62.5752608299,1976
3,121.173666667,98.7915392694,1978
4,149.787,82.345039683,1979
5,66.6346666667,79.9665832179,1981
6,32.6303333333,61.0348678694,1982
7,66.8316666667,73.0728818785,1984
8,66.8086666667,58.9979856291,1986
9,80.1016666667,70.2220254961,1988
10,49.7363333333,53.2660639944,1989
11,36.43,64.7857670395,1990
12,49.3893333333,34.9141318417,1996
13,28.7496666667,36.303140731,1997
14,26.08,50.1000854041,1998
15,55.7623333333,48.3411780707,2002
16,17.368,42.4964653989,2003
17,45.4133333333,28.3977183377,2004
18,51.657,25.0409855243,2006
19,95.434,115.403602366,1972
20,21.229,36.3580392937,1973
21,101.490666667,111.635997718,1975
22,163.229666667,78.5053998781,1977
23,55.1996666667,74.1050335616,1980
24,43.625,44.2120659148,1983
25,104.534333333,92.1547812988,1985
26,59.966,53.5777574745,1987
27,62.0463333333,65.3115134547,1991
28,50.682,48.2488624613,1992
29,16.1226666667,63.926185521,1993
30,85.5776666667,56.6609550754,1994
31,53.546,42.6843798407,1995
32,63.2256666667,82.2442096877,1999
33,36.6226666667,92.7313403207,2000
34,142.701666667,76.778246694,2001
35,20.2656666667,44.410666172,2005
36,46.4163333333,30.5775619393,2007
37,61.3456666667,81.4997480188,2008
